,course id,name,dept,year,semester,section,instructor,hrs,responses,date
374,70365,INT TRADE & INT LAW,BA,2015,Spring,A,CLIFFORD EARLY,10.5,6,2015-01
375,70366,INTEL PROPRTY & ECOM,BA,2015,Spring,A4,DAVID TUNGATE,6.5,23,2015-01
376,70371,OPERATIONS MGMT,BA,2015,Spring,A,MOHAMMAD DELASAY SORKHAB,7.41,54,2015-01
377,70381,MARKETING I,BA,2015,Spring,A,GUOFANG HUANG,6.95,40,2015-01
378,70381,MARKETING I,BA,2015,Spring,B,GUOFANG HUANG,5.78,28,2015-01
379,70385,CONSUMER BEHAVIOR,BA,2015,Spring,A,CHRISTOPHER OLIVOLA,9.29,7,2015-01
380,70391,FINANCE,BA,2015,Spring,A,CHRIS TELMER,9.69,53,2015-01
381,70398,INTERNATNL FINANCE,BA,2015,Spring,A,JOSE EMILIO OSAMBELA ZAVALA,6.55,29,2015-01
382,70401,MANAGEMENT GAME,BA,2015,Spring,A,DAVID LAMONT,9.08,36,2015-01
384,70415,INTRO ENTREPRENRSHIP,BA,2015,Spring,A,KATHARINE ANDERSON,7.05,19,2015-01
385,70416,NEW VENTURE CREATION,BA,2015,Spring,A,DAVID MAWHINNEY,8.0,8,2015-01
388,70422,MANAGERIAL ACCOUNTNG,BA,2015,Spring,A,AUSTIN SUDBURY,3.5,8,2015-01
390,70424,CORP FINAN REPTNG,BA,2015,Spring,A,STEPHEN KAROLYI,7.67,9,2015-01
391,70425,ENTRPRSHP CRTV INDSR,BA,2015,Spring,A,TIM CUNNINGHAM,6.15,13,2015-01
392,70428,FINANCL STATMNT ANAL,BA,2015,Spring,A,JING LI,4.67,9,2015-01
393,70430,INTERNATNL MGMNT,BA,2015,Spring,A,MILTON COFIELD,8.88,17,2015-01
395,70440,CORPORATE STRATEGY,BA,2015,Spring,A,DAVID LAMONT,5.82,11,2015-01
396,70443,DGTL MKTG SCL MD STG,BA,2015,Spring,A,PARAM SINGH,6.88,16,2015-01
398,70451,MANGEMNT INFRMT SYST,BA,2015,Spring,A,WOLFGANG GATTERBAUER,8.26,27,2015-01
400,70451,MANGEMNT INFRMT SYST,BA,2015,Spring,X,TRIDAS MUKHOPADHYAY,8.39,19,2015-01
402,70455,MODRN DATA MANGEMNT,BA,2015,Spring,A,WOLFGANG GATTERBAUER,6.91,11,2015-01
405,70462,STOCHASTIC MODLG SIM,BA,2015,Spring,A,MOHAMMAD DELASAY SORKHAB,8.0,10,2015-01
410,70480,INTERNTNL MARKETING,BA,2015,Spring,A,LLOYD CORDER,8.67,6,2015-01
413,70488,INTERACTIVE MARKETNG,BA,2015,Spring,A4,MICHAEL SMITH,5.33,9,2015-01
415,70495,CORPORATE FINANCE,BA,2015,Spring,A,FANY DECLERCK,8.0,13,2015-01
416,70495,CORPORATE FINANCE,BA,2015,Spring,B,FANY DECLERCK,12.17,6,2015-01
419,70643,PBLSHNG ON THE WWW,BA,2015,Spring,A,ANTHONY STANTON,7.77,13,2015-01
421,46833,PRODUCT & BRAND MGMT,IA,2015,Spring,A4,JOHN LANKFORD,9.26,27,2015-01
422,70100,GLOBAL BUSINESS,BA,2015,Fall,A,MILTON COFIELD,7.0,34,2015-09
423,70100,GLOBAL BUSINESS,BA,2015,Fall,B,MILTON COFIELD,5.35,43,2015-09
425,70101,INTRO BUSINESS MGMNT,BA,2015,Fall,A,DAVID RAMIREZ,6.1,31,2015-09
426,70101,INTRO BUSINESS MGMNT,BA,2015,Fall,B,DAVID LAMONT,5.1,31,2015-09
428,70122,INTRO TO ACCOUNTING,BA,2015,Fall,1,THOMAS RUCHTI,5.49,39,2015-09
429,70122,INTRO TO ACCOUNTING,BA,2015,Fall,2,THOMAS RUCHTI,4.79,29,2015-09
