Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2017,ANDREAS PFENNING,CB,02319,GENOMICS & EPIGENETI,A,4,5,80%,9.00,4.75,4.25,4.50,3.50,5.00,5.00,5.00,4.00,4.00
Spring,2017,JIAN MA,CB,02510,COMPUTATNL GENOMICS,A,2,5,40%,11.00,4.50,3.50,3.50,3.00,4.50,4.50,4.50,4.50,3.50
Spring,2017,CHRISTOPHER LANGMEAD,CB,02518,COMP MEDICINE,A,1,2,50%,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Spring,2017,PHILLIP COMPEAU,CB,02601,PRGRMMING SCIENTISTS,1,6,7,86%,12.50,3.83,4.00,4.00,3.67,3.83,4.00,4.00,3.83,3.83
Spring,2017,PHILLIP COMPEAU,CB,02604,FUNDAMENTALS BIOINF,A,23,30,77%,16.87,4.17,4.22,4.22,4.13,3.83,4.09,4.35,4.13,3.96
Spring,2017,GUILLAUME MARCAIS,CB,02613,ALGR & ADV DTA STRC,A,5,6,83%,12.80,4.00,4.00,4.00,3.80,4.00,3.80,4.40,3.80,3.80
Spring,2017,JIAN MA,CB,02710,COMPUTATNL GENOMICS,A,21,31,68%,11.81,4.33,4.14,4.29,3.90,4.57,4.29,4.67,4.24,3.57
Spring,2017,CHRISTOPHER LANGMEAD,CB,02718,COM MEDICINE,A,2,6,33%,11.00,5.00,5.00,4.50,3.00,5.00,4.00,5.00,4.00,4.00
Spring,2017,ANDREAS PFENNING,CB,02719,GENOMICS AND EPIGENE,A,1,2,50%,8.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00
Spring,2017,GE YANG,CB,02740,BIOIMAGE INFORMTCS,A,3,5,60%,7.00,4.33,3.33,4.00,3.67,4.33,5.00,4.67,3.67,4.00
Spring,2017,JOSHUA KANGAS,CB,02760,LAB MTHDS COMP BIO,A,3,5,60%,9.50,4.67,4.67,4.33,4.33,4.00,5.00,5.00,4.33,4.00
Spring,2017,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,146,233,63%,17.68,4.83,4.79,4.80,4.55,4.84,4.73,4.68,4.80,4.75
Spring,2017,DAVID ANDERSEN,CS,15112,FNDMTLS OF PGMG & CS,2,100,185,54%,18.05,4.44,4.47,4.53,4.19,4.59,4.36,4.41,4.25,4.49
Spring,2017,HOUDA BOUAMOR,CS,15112,FNDMTLS OF PGMG & CS,W,19,27,70%,15.28,4.42,4.58,4.42,3.74,4.21,4.26,4.32,4.21,3.74
Spring,2017,ILIANO CERVESATO,CS,15122,PRIN IMPRTV COMPTATN,1,74,149,50%,12.25,3.78,3.85,3.92,3.45,4.03,3.64,4.10,3.51,3.78
Spring,2017,HYRUM WRIGHT,CS,15122,PRIN IMPRTV COMPTATN,2,85,189,45%,11.69,4.40,4.19,4.21,3.88,4.48,4.42,4.60,4.27,4.08
Spring,2017,SAQUIB RAZAK,CS,15122,PRIN IMPRTV COMPTATN,3,19,27,70%,15.47,4.79,4.89,4.79,4.68,4.74,4.84,4.95,4.89,4.42
Spring,2017,KEMAL OFLAZER,CS,15210,PRL SEQ DATA STR ALG,W,5,9,56%,15.80,4.40,4.20,4.40,3.80,4.60,4.00,4.60,4.00,4.40
Spring,2017,CHRISTOS KAPOUTSIS,CS,15251,GRT THERTCL IDEAS CS,2,6,12,50%,15.80,5.00,4.83,4.67,4.00,4.67,4.83,4.83,4.83,4.83
Spring,2017,THOMAS CORTINA,CS,15292,ST HISTORY COMUTNG,A3,14,21,67%,6.07,4.86,5.00,4.93,4.07,4.86,4.93,4.93,4.93,4.86
Spring,2017,DANIEL SLEATOR,CS,15295,COMPTN PGMG PBL SLVG,A,11,20,55%,2.00,4.70,4.90,4.70,4.80,4.60,4.60,4.80,4.60,4.90
Spring,2017,CAROL FRIEZE,CS,15296,ST:IMAGES OF COMPTNG,A4,13,20,65%,6.15,4.31,3.69,3.69,4.00,3.85,3.92,4.46,3.85,3.69
Spring,2017,GISELLE REIS,CS,15317,CONSTRUCTIVE LOGIC,1,4,8,50%,6.50,4.50,4.75,4.00,4.75,4.25,4.50,5.00,5.00,4.50
Spring,2017,ROGER DANNENBERG,CS,15323,COMPTR MUSIC SYSTEMS,A,8,24,33%,5.38,4.25,4.38,4.25,4.13,3.50,4.29,4.75,3.50,3.75
Spring,2017,SAQUIB RAZAK,CS,15348,EMBEDDED SYSTEMS,1,3,8,38%,11.00,5.00,5.00,5.00,5.00,5.00,5.00,4.67,4.67,4.67
Spring,2017,GUILLAUME MARCAIS,CS,15351,ALGO ADV DATA STRUCT,A,14,25,56%,8.69,4.00,4.29,4.50,3.71,4.07,4.00,4.57,4.00,3.86
Spring,2017,ALEXANDER WAIBEL,CS,15381,AI RPRSNTN & PRB SLV,A,19,40,48%,9.33,4.33,3.89,3.83,3.72,4.22,3.35,4.67,3.50,3.28
Spring,2017,GIANNI DI CARO,CS,15381,AI RPRSNTN & PRB SLV,W,3,5,60%,6.00,3.33,3.00,3.33,3.67,3.67,3.00,3.67,3.00,2.67
Spring,2017,TAI-SING LEE,CS,15386,NEURAL COMPUTATION,A,18,37,49%,10.50,3.94,3.22,3.17,3.06,4.18,3.39,4.06,3.28,3.29
Spring,2017,DAVID TOURETZKY,CS,15394,INTERMD RAPID PROTYP,A3,7,16,44%,8.00,4.71,4.43,4.29,4.43,4.50,4.86,4.86,4.71,4.14
Spring,2017,DAVID TOURETZKY,CS,15394,INTERMD RAPID PROTYP,A4,6,14,43%,7.00,4.50,4.17,4.17,4.33,4.67,4.50,4.33,4.33,4.50
Spring,2017,DAVID ECKHARDT,CS,15410,OP SYS DESIGN & IMPL,A,29,45,64%,24.10,4.62,4.48,4.68,4.24,4.59,4.38,4.31,4.48,4.55
Spring,2017,MANUEL ROSSO-LLOPART,CS,15413,SFTWR ENGRG PRACTCUM,A,3,7,43%,9.50,4.67,3.67,4.33,4.00,4.33,4.00,3.67,3.33,3.33
Spring,2017,KARL CRARY,CS,15417,HOT COMPILATION,A,6,10,60%,10.50,4.67,4.50,4.50,3.83,4.67,4.67,4.83,4.50,4.33
Spring,2017,ANDRE PLATZER,CS,15424,FNDN CYB PHY SYS,1,11,13,85%,11.00,4.73,4.73,4.91,4.73,4.55,4.64,4.73,4.64,4.73
Spring,2017,JEFFREY EPPINGER,CS,15437,WEB APPLCTN DEVLPMNT,A,17,22,77%,10.63,4.82,4.76,4.76,4.53,4.76,4.76,4.82,4.59,4.71
Spring,2017,KHALED HARRAS,CS,15441,COMPUTER NETWORKS,1,4,4,100%,22.00,5.00,5.00,5.00,4.25,4.75,5.00,4.75,5.00,5.00
Spring,2017,RYAN ODONNELL,CS,15455,UG COMPLEX THEORY,A,50,63,79%,9.04,4.84,4.84,4.74,4.54,4.80,4.90,4.90,4.98,4.74
Spring,2017,NANCY POLLARD,CS,15462,COMPUTER GRAPHICS,A,7,14,50%,15.43,3.57,3.57,3.86,3.00,4.29,3.86,4.14,3.43,3.57
Spring,2017,JEREMY KOLTER,CS,15489,RES PRCTCL DATA SCI,A,2,4,50%,9.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Spring,2017,DAVID TOURETZKY,CS,15494,COGNITIVE ROBOTICS,1,7,16,44%,8.43,3.43,3.14,3.29,2.43,3.57,3.29,3.29,2.57,2.57
Spring,2017,RITA SINGH,CS,15498,CMP FRSCS INVTGV INT,R,5,6,83%,8.00,5.00,4.60,5.00,4.80,5.00,5.00,5.00,5.00,4.60
Spring,2017,RITA SINGH,CS,15498,CMP FRSCS INVTGV INT,W,3,6,50%,4.00,4.67,4.00,4.00,3.67,4.33,3.33,4.67,3.67,4.00
Spring,2017,MANUEL BLUM,CS,15503,ST:THRTCL CRPTOGPHY,A,10,18,56%,6.50,4.70,3.90,3.67,4.20,4.80,3.50,5.00,4.00,3.80
Spring,2017,DAVID ECKHARDT,CS,15605,OPRG SYS DSG IMPLMN,A,15,18,83%,25.80,4.07,4.27,4.67,3.53,4.60,4.07,3.67,3.93,4.53
Spring,2017,MAJD SAKR,CS,15619,CLOUD COMPUTING,A,59,82,72%,25.38,3.90,3.91,4.10,3.53,4.02,3.83,3.95,3.79,4.12
Spring,2017,MAJD SAKR,CS,15619,CLOUD COMPUTING,B,48,68,71%,24.38,3.96,3.81,4.06,3.67,4.08,3.96,4.00,3.71,4.02
Spring,2017,MAJD SAKR,CS,15619,CLOUD COMPUTING,D,5,12,42%,25.50,3.80,4.00,4.00,3.80,4.00,3.60,4.20,4.20,3.80
Spring,2017,MAJD SAKR,CS,15619,CLOUD COMPUTING,E,23,33,70%,26.35,4.35,4.65,4.78,4.35,4.83,4.65,4.52,4.39,4.59
